0,10
0,11
0,15
0,22
0,57
0,64
0,72
0,85
0,96
1,6
1,38
1,47
1,49
1,55
1,63
1,67
1,69
1,74
1,78
1,83
1,32
2,8
2,34
2,50
2,71
3,36
3,45
3,51
3,52
3,61
3,62
3,63
3,15
3,18
3,20
3,23
3,24
3,29
3,31
3,39
3,48
3,54
3,55
3,59
3,60
3,61
3,78
3,79
3,91
4,4
4,4
4,5
4,6
4,7
4,17
4,35
4,36
4,39
4,41
4,42
4,52
4,53
4,55
4,73
4,78
4,81
4,85
4,87
4,11
4,22
4,66
4,87
4,89
4,95
5,4
5,9
5,11
5,18
5,35
5,38
5,42
5,63
5,69
5,81
5,93
5,97
5,17
5,25
5,27
5,30
5,47
5,62
5,79
5,96
5,97
5,98
6,1
6,4
6,8
6,21
6,25
6,39
6,40
6,43
6,59
6,80
6,14
6,26
6,93
7,4
7,7
7,7
7,8
7,10
7,14
7,38
7,60
7,69
7,83
7,85
7,93
7,10
7,18
7,33
7,52
7,62
7,69
7,73
7,81
7,94
7,96
8,2
8,6
8,7
8,8
8,8
8,17
8,36
8,38
8,43
8,63
8,83
8,9
8,27
8,29
8,38
8,44
8,50
8,51
8,54
8,55
8,60
8,64
8,69
8,83
8,91
8,92
8,94
8,99
9,5
9,8
9,38
9,45
9,57
9,62
9,73
9,85
9,20
9,50
9,58
9,60
9,61
9,69
9,71
9,74
9,81
9,91
10,7
10,0
10,7
10,11
10,12
10,15
10,23
10,26
10,29
10,46
10,50
10,63
10,73
10,85
10,86
10,91
10,92
10,54
10,70
10,87
11,5
11,10
11,0
11,4
11,11
11,11
11,14
11,20
11,26
11,38
11,63
11,14
11,15
11,26
11,32
11,39
11,59
11,60
11,62
11,66
11,67
11,71
11,72
11,78
11,85
11,91
11,96
11,98
12,10
12,13
12,72
12,95
12,96
12,14
12,22
12,37
12,38
12,53
12,55
12,61
12,63
12,78
12,83
12,90
12,93
12,95
13,12
13,17
13,18
13,38
13,48
13,71
13,80
13,83
13,84
13,15
13,42
13,45
13,52
13,65
13,68
13,69
13,70
13,86
13,92
14,7
14,11
14,6
14,11
14,12
14,19
14,21
14,25
14,33
14,62
14,63
14,71
14,75
14,83
14,87
14,15
14,26
14,29
14,33
14,57
14,67
14,71
14,74
14,80
14,83
14,87
14,97
15,10
15,0
15,3
15,11
15,13
15,14
15,18
15,21
15,60
15,61
15,68
15,74
15,80
15,81
15,89
15,23
16,23
16,39
16,57
16,67
16,69
16,79
16,87
16,73
17,4
17,8
17,13
17,5
17,40
17,57
17,70
17,18
17,21
17,24
17,28
17,40
17,51
17,55
17,58
17,60
17,65
17,69
17,71
17,72
17,78
17,91
17,92
17,98
18,5
18,13
18,15
18,3
18,7
18,17
18,32
18,43
18,47
18,52
18,61
18,85
18,93
18,23
18,80
18,82
19,14
19,43
19,45
19,69
19,72
19,74
19,89
19,93
19,97
19,84
19,93
20,11
20,3
20,9
20,29
20,78
20,95
20,27
20,38
20,81
20,91
21,6
21,14
21,15
21,17
21,38
21,40
21,47
21,74
21,93
21,23
21,27
21,31
21,36
21,41
21,44
21,49
21,52
21,91
22,0
22,4
22,12
22,28
22,39
22,48
22,61
22,65
22,71
22,72
22,80
22,86
22,87
22,89
22,96
22,74
22,82
23,10
23,16
23,3
23,15
23,18
23,21
23,31
23,33
23,43
23,47
23,48
23,69
23,74
23,81
23,83
23,86
23,39
23,45
23,46
23,67
23,78
23,79
23,81
23,84
23,90
23,91
23,94
24,3
24,17
24,33
24,36
24,43
24,45
24,48
24,52
24,61
24,63
24,73
24,74
24,78
24,83
24,59
25,6
25,14
25,5
25,26
25,35
25,38
25,40
25,43
25,48
25,61
25,62
25,63
25,77
25,85
25,41
25,43
25,53
25,68
25,74
25,80
25,81
25,85
25,87
25,93
25,98
26,10
26,11
26,25
26,6
26,11
26,14
26,28
26,36
26,51
26,52
26,59
26,66
26,81
26,34
26,69
26,89
26,98
26,99
27,5
27,8
27,20
27,21
27,33
27,40
27,57
27,63
27,66
27,85
27,89
27,51
27,67
27,71
27,73
27,74
27,81
28,22
28,26
28,17
28,63
28,83
28,90
28,29
28,32
28,33
28,37
28,40
28,46
28,50
28,54
28,58
28,59
28,63
28,66
28,73
28,74
28,88
28,89
28,92
29,10
29,20
29,3
29,8
29,14
29,28
29,35
29,38
29,39
29,42
29,63
29,86
29,95
29,31
29,37
29,39
29,45
29,66
29,71
29,74
29,89
29,96
29,97
30,5
30,31
31,23
31,30
31,3
31,21
31,29
31,41
31,48
31,61
31,62
31,69
31,70
31,80
31,33
31,36
31,41
31,76
32,18
32,1
32,11
32,28
32,35
32,36
32,43
32,82
32,86
33,14
33,23
33,24
33,27
33,7
33,14
33,28
33,31
33,86
33,91
33,63
33,68
33,82
33,88
33,92
33,93
33,98
34,2
34,26
34,45
34,57
34,61
34,77
34,81
34,52
34,61
34,70
34,89
34,92
35,4
35,5
35,25
35,29
35,32
35,43
35,63
35,83
35,86
35,96
35,40
35,42
35,43
35,52
35,55
35,57
35,70
35,75
35,84
35,91
35,94
35,96
36,3
36,4
36,8
